,0,1
0,7.09001650088614e-35,4.1884997748283594e-17
1,7.092570835525484e-27,4.1889186248058424e-13
2,1.1953445020304997e-25,2.1708257191427077e-12
3,3.424238326878204e-25,3.922759575804831e-12
4,6.850713683205413e-25,5.6746934324669544e-12
5,1.509311482730259e-24,8.531701033325208e-12
6,3.637516886492673e-24,1.3327203405044521e-11
7,9.46919897788121e-24,2.1548935305965835e-11
8,2.6087194338967977e-23,3.575422947731673e-11
9,7.483034760275239e-23,6.04123885349606e-11
10,2.2220137632575614e-22,1.0360211717827191e-10
11,7.007892719562819e-22,1.8233376044352145e-10
12,2.964521470711342e-21,3.6681389647924293e-10
13,6.928504470520369e-21,5.512940325149644e-10
14,1.2742750747973543e-20,7.357741685506859e-10
15,2.056232394208078e-20,9.202543045864074e-10
16,3.0543959158021105e-20,1.1047344406221288e-09
17,4.919971091660081e-20,1.3726167630121222e-09
18,7.31938684579038e-20,1.6404990854021155e-09
19,1.0301918691322533e-19,1.908381407792109e-09
20,1.3917269974572464e-19,2.176263730182102e-09
21,2.826208432199871e-19,2.945909284435243e-09
22,4.937867318398331e-19,3.715554838688384e-09
23,1.0832669051513893e-18,5.10524121727549e-09
24,1.9979710176566164e-18,6.494927595862596e-09
25,3.3051179407694246e-18,7.884613974449701e-09
26,5.0718064454963815e-18,9.274300353036808e-09
27,7.365043822194683e-18,1.0663986731623915e-08
28,1.2695121846657055e-17,1.303911083788569e-08
29,2.009292597768349e-17,1.5414234944147465e-08
30,3.798448610683306e-17,1.938388854221659e-08
31,6.413891594113415e-17,2.3353542140285717e-08
32,1.0010766597972739e-16,2.7323195738354843e-08
33,1.4743905246462396e-16,3.1292849336423966e-08
34,2.0767866770245762e-16,3.526250293449309e-08
35,2.823693567277553e-16,3.923215653256222e-08
36,3.730510903356853e-16,4.3201810130631344e-08
37,4.812610369975265e-16,4.717146372870047e-08
38,6.085337690915889e-16,5.1141117326769597e-08
39,7.564014174519418e-16,5.511077092483872e-08
40,9.263937281351312e-16,5.908042452290785e-08
41,1.1200380969487782e-15,6.305007812097697e-08
42,1.4790137592303317e-15,6.93397775275364e-08
43,1.9072505086352536e-15,7.562947693409584e-08
44,2.4107904315330547e-15,8.191917634065527e-08
45,2.995663032465487e-15,8.820887574721471e-08
46,3.667885754740618e-15,9.449857515377414e-08
47,4.4334644211478266e-15,1.0078827456033358e-07
48,5.2983936471782215e-15,1.0707797396689302e-07
49,6.26865723945477e-15,1.1336767337345245e-07
50,7.350228560192588e-15,1.1965737278001189e-07
51,8.549070846859985e-15,1.2594707218657132e-07
52,9.871137495912789e-15,1.3223677159313076e-07
53,1.1322372323086768e-14,1.385264709996902e-07
54,1.2908709803915247e-14,1.4481617040624963e-07
55,1.558167859879103e-14,1.5434190728303257e-07
56,1.859866644887303e-14,1.638676441598155e-07
57,2.1980172563297642e-14,1.7339338103659844e-07
58,2.5746651774890375e-14,1.8291911791338138e-07
59,2.991851555961997e-14,1.9244485479016432e-07
60,3.4516132955517594e-14,2.0197059166694726e-07
61,3.955983137470226e-14,2.114963285437302e-07
62,4.5069897296184356e-14,2.2102206542051314e-07
63,5.1066576857228446e-14,2.3054780229729607e-07
64,5.757007637281963e-14,2.40073539174079e-07
65,6.460056279921473e-14,2.495992760508619e-07
66,7.217816414385648e-14,2.5912501292764484e-07
67,8.03229698238139e-14,2.6865074980442775e-07
68,8.905503098069093e-14,2.7817648668121066e-07
69,1.034880909080931e-13,2.9264668397855557e-07
70,1.1939243213029728e-13,3.0711688127590047e-07
