rxn number,sensitivity,cantera equation,cantera products,cantera reactants
0,0.18860432051432266,H(5) + O2(3) <=> O(6) + OH(2),"{'O(6)': 1.0, 'OH(2)': 1.0}","{'H(5)': 1.0, 'O2(3)': 1.0}"
29,0.13477949893370045,CO(12) + OH(2) <=> CO2(13) + H(5),"{'CO2(13)': 1.0, 'H(5)': 1.0}","{'CO(12)': 1.0, 'OH(2)': 1.0}"
497,0.08844804231559623,CF3(45) + O2(3) <=> CF3O(48) + O(6),"{'CF3O(48)': 1.0, 'O(6)': 1.0}","{'CF3(45)': 1.0, 'O2(3)': 1.0}"
2072,0.07624098016879428,C2F(1707) + O2(3) <=> C2FO(1963) + O(6),"{'C2FO(1963)': 1.0, 'O(6)': 1.0}","{'C2F(1707)': 1.0, 'O2(3)': 1.0}"
2236,-0.053846837395917224,CF2O(49) + H(5) <=> CFO(51) + HF(38),"{'CFO(51)': 1.0, 'HF(38)': 1.0}","{'CF2O(49)': 1.0, 'H(5)': 1.0}"
810,-0.04602056357419276,CF3(45) + OH(2) <=> CF2O(49) + HF(38),"{'CF2O(49)': 1.0, 'HF(38)': 1.0}","{'CF3(45)': 1.0, 'OH(2)': 1.0}"
379,-0.04489283822010447,C3H2F4(1) + O(6) <=> CF3(45) + CH2CFO(79),"{'CF3(45)': 1.0, 'CH2CFO(79)': 1.0}","{'C3H2F4(1)': 1.0, 'O(6)': 1.0}"
330,0.032586857999436156,C3H2F4(1) + O(6) <=> CF3COF(77) + CH2(T)(17),"{'CF3COF(77)': 1.0, 'CH2(T)(17)': 1.0}","{'C3H2F4(1)': 1.0, 'O(6)': 1.0}"
453,0.028452730247258157,C3HF4(147) + O2(3) <=> O(6) + S(287),"{'O(6)': 1.0, 'S(287)': 1.0}","{'C3HF4(147)': 1.0, 'O2(3)': 1.0}"
312,-0.025885451087470406,C3H2F4(1) + H(5) <=> C3H3F4(86),{'C3H3F4(86)': 1.0},"{'C3H2F4(1)': 1.0, 'H(5)': 1.0}"
398,0.024692075033005783,C3H2F4(1) + OH(2) <=> C3HF4(84) + H2O(4),"{'C3HF4(84)': 1.0, 'H2O(4)': 1.0}","{'C3H2F4(1)': 1.0, 'OH(2)': 1.0}"
567,-0.021723854023106,CH2CFO(79) (+M) <=> CH2F(46) + CO(12) (+M),"{'CH2F(46)': 1.0, 'CO(12)': 1.0}",{'CH2CFO(79)': 1.0}
1173,-0.021081314503990773,C3H3F4(86) + CF3(45) <=> CF4(44) + S(237),"{'CF4(44)': 1.0, 'S(237)': 1.0}","{'C3H3F4(86)': 1.0, 'CF3(45)': 1.0}"
32,0.020581618843024094,HCO(14) + M <=> CO(12) + H(5) + M,"{'CO(12)': 1.0, 'H(5)': 1.0}",{'HCO(14)': 1.0}
3447,0.018354399123299593,CF2(43) + OH(2) <=> CF2O(49) + H(5),"{'CF2O(49)': 1.0, 'H(5)': 1.0}","{'CF2(43)': 1.0, 'OH(2)': 1.0}"
